"","HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeAdvantage","HomeAttack","HomeDefense","AwayAttack","AwayDefense","HomeMeanGoals","AwayMeanGoals"
"1","Denmark","Sweden","2015/11/17","EUC-Q",2,2,1,0.0954919814592207,-0.477229674337475,0.332177312338332,-0.113728765328343,1.55196472523175,1.18178093299289
"2","Slovenia","Ukraine","2015/11/17","EUC-Q",1,1,1,0.121243707285364,-0.0820781110356069,0.0805656478395673,-0.547835449399891,1.55196472523175,1.18178093299289
"3","Republic of Ireland","Bosnia-Herzegovina","2015/11/16","EUC-Q",2,0,1,0.168476149971902,-0.426331300789549,0.273152020667455,-0.0304592074847086,1.55196472523175,1.18178093299289
"4","Hungary","Norway","2015/11/15","EUC-Q",2,1,1,0.0818564464698321,-0.0393647235222767,0.0235211950413459,-0.241689468601308,1.55196472523175,1.18178093299289
"5","Sweden","Denmark","2015/11/14","EUC-Q",2,1,1,0.305276380852732,-0.139836945187799,0.0743650819553067,-0.51032574872434,1.55196472523175,1.18178093299289
"6","Ukraine","Slovenia","2015/11/14","EUC-Q",2,0,1,0.0689662044647228,-0.49955603150776,0.168982992354774,-0.0937613798144744,1.55196472523175,1.18178093299289
"7","Bosnia-Herzegovina","Republic of Ireland","2015/11/13","EUC-Q",1,1,1,0.28885638267955,-0.0361454466363533,0.162628923448219,-0.410829470607315,1.55196472523175,1.18178093299289
"8","Norway","Hungary","2015/11/12","EUC-Q",0,1,1,0.0797349680188535,-0.279581636417913,0.0439211870579281,0.0170537545658276,1.55196472523175,1.18178093299289
"9","Belgium","Israel","2015/10/13","EUC-Q",3,1,1,0.253633958312208,-0.343758718672186,-0.0133892371190161,0.208395328965302,1.55196472523175,1.18178093299289
"10","Bulgaria","Azerbaijan","2015/10/13","EUC-Q",2,0,1,-0.101921989725384,-0.00914165791728339,-0.311701578296001,0.168476149971902,1.55196472523175,1.18178093299289
"11","Cyprus","Bosnia-Herzegovina","2015/10/13","EUC-Q",2,3,1,-0.217037232882449,0.194661768878559,0.223703394572724,-0.0694572650152217,1.55196472523175,1.18178093299289
"12","Italy","Norway","2015/10/13","EUC-Q",2,1,1,0.399916409177748,-0.428631386140004,0.0218593343528935,-0.280640257662735,1.55196472523175,1.18178093299289
